dt, Acceleration, Pressure, Their Altitude, Our Altitude
0.01,28.09,81945,1754.84,1701.26245
0.01,27.56,81917,1757.61,1703.3815
0.01,27.03,81889,1760.38,1705.531147
0.01,26.5,81889,1760.38,1707.449686
0.01,25.97,81853,1763.94,1709.525112
0.01,25.44,81812,1768,1711.795287
0.01,25.44,81794,1769.78,1714.049377
0.01,23.85,81762,1772.95,1716.235165
0,23.85,81762,1772.95,1717.348339
0.01,23.32,81755,1773.64,1719.359894
0.01,23.32,81738,1775.33,1721.38971
0.01,22.79,81695,1779.59,1723.60123
0.01,22.26,81685,1780.58,1725.689974
0.01,21.2,81637,1785.34,1727.978228
0.01,20.67,81628,1786.23,1730.142368
0.01,20.14,81617,1787.32,1732.157202
0.01,20.14,81593,1789.7,1734.272872
0.01,19.08,81564,1792.58,1736.353068
0.01,18.55,81537,1795.26,1738.549463
0.01,18.55,81524,1796.55,1740.653106
0.01,18.55,81479,1801.01,1743.042559
0.01,18.02,81446,1804.29,1745.474352
0.01,16.96,81419,1806.98,1747.878023
0.01,17.49,81403,1808.57,1750.316248
0.01,16.43,81374,1811.45,1752.641574
0.01,16.43,81357,1813.14,1755.030799
0.01,15.9,81336,1815.23,1757.281519
0.01,15.9,81305,1818.31,1759.721049
0.01,15.37,81280,1820.8,1762.075409
0.01,14.84,81245,1824.28,1764.579632
0.01,14.31,81225,1826.27,1766.981706
0.01,13.78,81194,1829.36,1769.460658
0.01,14.31,81172,1831.55,1771.992921
0.01,14.31,81135,1835.24,1774.622296
0.01,11.13,81111,1837.63,1776.924193
0.01,15.37,81085,1840.22,1779.936232
0.01,13.25,81060,1842.71,1782.256807
0.01,11.66,81036,1845.11,1784.840283
0.01,10.6,81020,1846.7,1787.077666
0.01,9.54,80963,1852.39,1789.755491
0.01,9.54,80972,1851.49,1792.036848
0,9.54,80972,1851.49,1793.265561
0.01,7.95,80948,1853.89,1795.385035
0.01,7.95,80908,1857.88,1797.805662
0.01,6.89,80865,1862.18,1800.283226
0.01,6.36,80830,1865.68,1802.934137
0.01,6.36,80822,1866.48,1805.380471
0.01,5.83,80797,1868.98,1807.819118
0.01,5.3,80764,1872.28,1810.338144
0.01,5.3,80726,1876.08,1813.034749
