dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.017400,-8.160000,78453.000000,2114.61,1972.725720,0
0.012600,-9.060000,78198.000000,2140.48,1999.801592,0
0.009800,-8.320000,77986.000000,2161.46,2025.608562,0
0.017300,-8.510000,77583.000000,2203.78,2055.311256,0
0.008500,-8.870000,77403.000000,2221.38,2081.650430,0
0.009500,-8.280000,77221.000000,2240.46,2106.570396,0
0.017200,-8.710000,76815.000000,2283.43,2135.796244,0
0.008500,-8.590000,76636.000000,2299.29,2161.795421,0
0.008500,-8.710000,76481.000000,2317.37,2185.689145,0
0.017400,-8.430000,76110.000000,2356.90,2213.713978,0
0.008500,-7.570000,75941.000000,2372.35,2238.531255,0
0.008400,-7.880000,75795.000000,2388.14,2261.309978,0
0.017300,-7.340000,75439.000000,2426.79,2288.245588,0
0.008500,-7.490000,75293.000000,2441.82,2311.590435,0
0.008700,-7.810000,75125.000000,2459.11,2333.861251,0
0.017200,-7.260000,74793.000000,2495.37,2359.825467,0
0.008500,-6.940000,74637.000000,2510.72,2382.758802,0
0.008400,-6.860000,74508.000000,2526.63,2403.803822,0
0.017500,-6.240000,74167.000000,2564.32,2429.169836,0
0.008500,-7.020000,74011.000000,2576.99,2451.474396,0
0.008400,-6.670000,73872.000000,2593.12,2472.401498,0
0.019300,-6.200000,73518.000000,2631.71,2498.136546,0
0.008700,-6.630000,73383.000000,2645.44,2520.175153,0
0.008500,-5.880000,73245.000000,2661.46,2540.876778,0
0.017200,-5.960000,72917.000000,2695.22,2565.597282,0
0.008500,-5.810000,72797.000000,2708.49,2586.849219,0
0.008700,-5.610000,72667.000000,2723.53,2606.682518,0
0.017200,-5.810000,72359.000000,2757.17,2630.367190,0
0.008500,-5.370000,72221.000000,2769.65,2651.230202,0
0.008400,-5.690000,72109.000000,2784.34,2670.275302,0
0.017500,-5.180000,71821.000000,2815.11,2693.111408,0
0.008500,-5.490000,71692.000000,2828.77,2712.930702,0
0.008400,-5.490000,71568.000000,2843.22,2731.595422,0
0.017300,-4.790000,71291.000000,2875.40,2753.821327,0
0.008700,-5.220000,71168.000000,2887.14,2773.124703,0
0.008400,-4.670000,71047.000000,2900.35,2791.346985,0
0.017300,-4.080000,70776.000000,2930.93,2813.083345,0
0.008400,-4.630000,70662.000000,2942.63,2831.788755,0
0.008700,-4.940000,70543.000000,2957.14,2849.482702,0
0.017300,-3.880000,70288.000000,2985.77,2870.538539,0
0.008400,-4.670000,70169.000000,2997.43,2888.755647,0
0.008500,-4.160000,70063.000000,3011.79,2905.902734,0
0.017500,-3.800000,69782.000000,3041.38,2927.048536,0
0.008500,-4.160000,69690.000000,3050.84,2944.853401,0
0.008400,-4.040000,69586.000000,3063.48,2961.486690,0
0.017300,-3.730000,69345.000000,3091.41,2981.375692,0
0.008400,-3.770000,69238.000000,3102.74,2998.579209,0
0.008700,-3.690000,69130.000000,3115.56,3014.891083,0
0.017300,-3.300000,68891.000000,3141.94,3034.474951,0
0.008500,-3.730000,68796.000000,3152.64,3051.136526,0
0.008400,-3.690000,68692.000000,3164.73,3066.924635,0
0.017500,-3.260000,68455.000000,3192.04,3086.113685,0
0.008500,-3.370000,68369.000000,3201.08,3102.288248,0
0.008400,-3.490000,68281.000000,3213.34,3117.277635,0
0.017300,-3.140000,68055.000000,3239.64,3135.591260,0
0.008700,-3.020000,67964.000000,3248.27,3151.281296,0
0.008400,-3.220000,67860.000000,3259.32,3166.245439,0
0.017300,-2.980000,67642.000000,3286.09,3184.356138,0
0.008500,-2.980000,67553.000000,3294.07,3199.827333,0
0.008700,-2.980000,67470.000000,3305.17,3214.200977,0
0.017200,-2.630000,67248.000000,3330.33,3231.911690,0
0.008500,-2.900000,67169.000000,3338.81,3246.829739,0
0.008500,-2.750000,67092.000000,3349.04,3260.645440,0
0.017500,-2.670000,66883.000000,3374.19,3277.612898,0
0.008400,-2.790000,66805.000000,3381.19,3291.953469,0
0.008500,-2.750000,66724.000000,3391.93,3305.389890,0
0.017200,-2.390000,66520.000000,3415.79,3321.970915,0
0.009200,-2.470000,66452.000000,3423.52,3335.864470,0
0.008500,-2.430000,66361.000000,3434.19,3349.138451,0
0.017300,-2.310000,66171.000000,3456.75,3365.224059,0
0.008400,-2.280000,66100.000000,3463.57,3378.771433,0
0.008700,-2.120000,66027.000000,3474.17,3391.427478,0
